City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,San Cristobal,VE,2022-05-25 20:45:29,7.7669,-72.225,78.98,69,100,4.81
133,Svetlaya,RU,2022-05-25 20:46:40,46.5389,138.3297,46.09,94,100,2.98
134,Busselton,AU,2022-05-25 20:43:13,-33.65,115.3333,53.65,85,0,5.21
135,Haines Junction,CA,2022-05-25 20:47:41,60.7522,-137.5108,53.55,35,97,12.66
136,Makakilo City,US,2022-05-25 20:47:41,21.3469,-158.0858,82.72,53,40,12.66
137,Severo-Kurilsk,RU,2022-05-25 20:47:42,50.6789,156.125,40.03,96,100,7.7
138,Touros,BR,2022-05-25 20:47:42,-5.1989,-35.4608,77.43,83,61,9.28
139,Kamaishi,JP,2022-05-25 20:45:53,39.2667,141.8833,62.01,86,4,8.32
140,Bartow,US,2022-05-25 20:47:43,27.8964,-81.8431,93.79,51,20,9.22
141,Farsund,NO,2022-05-25 20:47:43,58.0948,6.8047,52.95,100,100,11.1
142,Airai,TL,2022-05-25 20:47:44,-8.9266,125.4092,58.41,94,100,2.59
143,Zenzeli,RU,2022-05-25 20:47:44,45.9241,47.0474,61.38,50,63,8.63
144,Sabzevar,IR,2022-05-25 20:47:44,36.2126,57.6819,70.88,37,0,6.91
145,Saint George,US,2022-05-25 20:44:44,37.1041,-113.5841,93.43,11,0,3.0
146,Naujoji Akmene,LT,2022-05-25 20:47:45,56.3167,22.9,49.05,94,100,6.87
147,Mount Isa,AU,2022-05-25 20:47:45,-20.7333,139.5,51.57,87,0,0.0
148,Tayu,ID,2022-05-25 20:47:46,-6.5397,111.0518,78.03,84,100,3.78
149,Mount Gambier,AU,2022-05-25 20:47:46,-37.8333,140.7667,55.31,94,100,9.22
150,Kabompo,ZM,2022-05-25 20:47:47,-13.5927,24.2008,55.17,43,0,4.12
151,Fare,PF,2022-05-25 20:47:47,-16.7,-151.0167,80.71,67,1,11.81
152,Narsaq,GL,2022-05-25 20:47:47,60.9167,-46.05,48.42,47,37,2.64
153,Port Moresby,PG,2022-05-25 20:47:48,-9.4431,147.1797,74.62,100,75,5.75
154,Pangoa,PE,2022-05-25 20:47:48,-12.1167,-73.0,79.68,65,100,2.44
155,Manzanillo,CU,2022-05-25 20:47:49,20.3433,-77.1167,79.66,75,81,4.14
156,Malartic,CA,2022-05-25 20:47:49,48.1335,-78.1328,71.71,35,100,0.94
157,Kokopo,PG,2022-05-25 20:47:50,-4.352,152.2633,78.04,79,81,3.78
158,Harper,LR,2022-05-25 20:47:50,4.375,-7.7169,78.28,83,99,7.2
159,Ilebo,CD,2022-05-25 20:47:51,-4.3167,20.5833,69.64,97,45,1.61
160,Naze,JP,2022-05-25 20:47:51,28.3667,129.4833,67.12,90,100,8.63
161,Kahului,US,2022-05-25 20:47:51,20.8947,-156.47,78.82,70,40,14.97
162,Maumere,ID,2022-05-25 20:47:52,-8.6199,122.2111,79.54,84,100,4.61
163,Bredasdorp,ZA,2022-05-25 20:47:52,-34.5322,20.0403,58.71,94,92,2.66
164,Pandan,PH,2022-05-25 20:47:53,14.0453,124.1694,79.92,86,85,6.69
165,Nioro,GM,2022-05-25 20:47:53,13.35,-15.75,80.28,52,100,12.24
166,Piedra Gorda,PR,2022-05-25 20:47:53,18.4341,-66.8877,81.23,77,64,7.0
167,Chapais,CA,2022-05-25 20:47:54,49.7834,-74.8492,62.38,45,100,5.84
168,Pachino,IT,2022-05-25 20:47:55,36.7186,15.0907,69.28,68,17,2.28
169,Sandakan,MY,2022-05-25 20:47:54,5.8402,118.1179,78.48,100,20,2.3
170,Walvis Bay,NA,2022-05-25 20:47:56,-22.9575,14.5053,55.09,94,0,3.44
171,Kayerkan,RU,2022-05-25 20:47:57,69.3497,87.7602,28.53,86,93,9.44
172,Cumra,TR,2022-05-25 20:47:57,37.5732,32.7745,62.74,58,1,6.51
173,Northam,GB,2022-05-25 20:47:57,51.0333,-4.2167,55.38,92,2,16.73
174,Fayaoue,NC,2022-05-25 20:47:58,-20.65,166.5333,76.33,75,0,3.8
175,Port Alfred,ZA,2022-05-25 20:47:58,-33.5906,26.891,60.19,86,1,4.0
176,Tual,ID,2022-05-25 20:47:59,-5.6667,132.75,80.71,80,98,6.13
177,Batagay-Alyta,RU,2022-05-25 20:47:59,67.8006,130.4114,26.64,83,98,10.92
178,Kalemie,CD,2022-05-25 20:48:00,-5.9475,29.1947,69.42,83,100,5.44
179,Teguldet,RU,2022-05-25 20:48:00,57.3064,88.1667,49.46,86,3,4.83
180,Butaritari,KI,2022-05-25 20:48:00,3.0707,172.7902,81.61,75,100,18.43
181,Santa Fe,AR,2022-05-25 20:48:01,-31.6333,-60.7,54.95,89,100,11.01
182,Baruun-Urt,MN,2022-05-25 20:49:02,46.6806,113.2792,54.61,30,4,5.53
183,Lorengau,PG,2022-05-25 20:49:02,-2.0226,147.2712,80.01,80,100,1.59
184,Bilibino,RU,2022-05-25 20:49:02,68.0546,166.4372,52.23,52,99,8.21
185,Ranong,TH,2022-05-25 20:49:03,9.9658,98.6348,79.9,88,91,9.35
186,Shagonar,RU,2022-05-25 20:49:04,51.5333,92.8,61.7,82,98,2.1
187,Chabua,IN,2022-05-25 20:49:04,27.4825,95.1736,75.49,91,97,0.18
188,Kavaratti,IN,2022-05-25 20:49:04,10.5669,72.642,83.17,78,54,11.92
189,Husavik,IS,2022-05-25 20:49:05,66.0449,-17.3389,42.48,91,94,5.82
190,Joshimath,IN,2022-05-25 20:49:05,30.5667,79.5667,58.15,56,7,4.0
191,Asau,RO,2022-05-25 20:49:06,46.4333,26.4,61.72,91,25,5.23
192,Hami,CN,2022-05-25 20:49:06,42.8,93.45,78.53,12,100,7.23
193,Sambava,MG,2022-05-25 20:49:07,-14.2667,50.1667,70.95,90,10,5.77
194,Faanui,PF,2022-05-25 20:49:07,-16.4833,-151.75,80.51,66,6,12.95
195,Cascais,PT,2022-05-25 20:46:18,38.6979,-9.4215,67.46,54,0,20.71
196,Pastavy,BY,2022-05-25 20:49:08,55.1168,26.8326,56.16,81,90,7.25
197,Port Lincoln,AU,2022-05-25 20:49:08,-34.7333,135.8667,57.04,89,9,7.14
198,Barcelos,PT,2022-05-25 20:49:09,41.5388,-8.6151,66.85,82,37,6.55
199,Kazachinskoye,RU,2022-05-25 20:49:09,57.6953,93.2761,50.68,85,5,4.92
200,Shizunai,JP,2022-05-25 20:44:52,42.3339,142.3669,58.53,82,7,10.02
201,Atikokan,CA,2022-05-25 20:49:10,48.7555,-91.6216,54.97,60,100,11.72
202,Sinegorye,RU,2022-05-25 20:49:10,62.0788,150.477,39.0,88,100,0.63
203,Caravelas,BR,2022-05-25 20:49:11,-17.7125,-39.2481,70.36,89,0,8.93
204,Birin,NP,2022-05-25 20:45:32,26.8865,88.0718,60.93,84,99,4.76
205,Comodoro Rivadavia,AR,2022-05-25 20:49:12,-45.8667,-67.5,46.26,36,0,14.97
206,Jieshi,CN,2022-05-25 20:49:12,22.8134,115.8257,76.19,93,74,6.38
207,Itarema,BR,2022-05-25 20:49:13,-2.9248,-39.9167,77.36,87,14,8.61
208,Usinsk,RU,2022-05-25 20:49:13,65.9939,57.5281,54.55,72,100,21.88
209,Hirara,JP,2022-05-25 20:49:14,24.8,125.2833,75.54,93,100,7.0
210,Khatanga,RU,2022-05-25 20:49:15,71.9667,102.5,27.82,88,59,5.26
211,Sechura,PE,2022-05-25 20:49:15,-5.5569,-80.8222,75.51,60,32,13.89
212,Sandy Bay,AU,2022-05-25 20:49:15,-42.913,147.3532,46.29,94,0,8.05
213,North Bend,US,2022-05-25 20:49:16,43.4065,-124.2243,79.25,88,0,13.8
214,Ajaccio,FR,2022-05-25 20:46:26,42.0,8.9167,66.18,73,100,3.44
215,Matay,EG,2022-05-25 20:49:17,28.419,30.7792,80.78,28,0,15.35
216,Aykhal,RU,2022-05-25 20:49:17,66.0,111.5,32.83,85,100,14.03
217,At-Bashi,KG,2022-05-25 20:49:18,41.1702,75.8106,54.09,48,1,1.61
218,Samarai,PG,2022-05-25 20:49:18,-10.6167,150.6667,79.39,78,55,7.05
219,Gat,IL,2022-05-25 20:49:18,31.61,34.7642,77.4,70,0,5.86
220,Nanortalik,GL,2022-05-25 20:49:19,60.1432,-45.2371,34.39,77,7,15.66
221,Baherden,TM,2022-05-25 20:49:19,38.4362,57.4316,72.21,46,29,17.07
222,Mantua,IT,2022-05-25 20:45:27,45.1667,10.7833,76.15,73,4,4.5
223,Cortez,US,2022-05-25 20:49:20,37.3489,-108.5859,74.93,16,0,16.11
224,Kwinana,AU,2022-05-25 20:49:20,-32.25,115.7667,53.74,77,0,8.32
225,Novopokrovka,UA,2022-05-25 20:49:21,49.8425,36.5477,52.43,77,60,5.99
226,Muros,ES,2022-05-25 20:49:21,42.7762,-9.0603,62.1,74,19,11.86
227,Port Lavaca,US,2022-05-25 20:50:22,28.615,-96.6261,86.31,54,75,10.36
228,Auki,SB,2022-05-25 20:50:22,-8.7676,160.7034,79.14,82,15,2.98
229,Ostrovnoy,RU,2022-05-25 20:50:23,68.0531,39.5131,33.22,96,10,4.09
230,Praia Da Vitoria,PT,2022-05-25 20:50:23,38.7333,-27.0667,65.75,72,20,7.4
231,High Level,CA,2022-05-25 20:50:24,58.5169,-117.136,55.51,54,75,4.61
232,Coihaique,CL,2022-05-25 20:47:55,-45.5752,-72.0662,39.81,70,20,0.0
233,Bloemfontein,ZA,2022-05-25 20:50:24,-29.1211,26.214,45.88,76,0,0.0
234,Dunedin,NZ,2022-05-25 20:50:25,-45.8742,170.5036,43.81,60,64,13.0
235,Sao Jose Da Coroa Grande,BR,2022-05-25 20:50:25,-8.8978,-35.1478,76.32,88,100,11.14
236,Viedma,AR,2022-05-25 20:50:26,-40.8135,-62.9967,44.49,54,1,7.52
237,Kalat,PK,2022-05-25 20:50:26,29.0225,66.5916,67.35,11,0,2.24
238,Cockburn Town,TC,2022-05-25 20:46:29,21.4612,-71.1419,79.34,74,5,15.88
239,Hambantota,LK,2022-05-25 20:50:27,6.1241,81.1185,79.68,85,97,14.23
240,Noumea,NC,2022-05-25 20:50:27,-22.2763,166.4572,75.0,99,6,3.89
241,Karasjok,NO,2022-05-25 20:49:09,69.4719,25.5112,56.84,54,43,6.29
242,Anloga,GH,2022-05-25 20:50:28,5.7947,0.8973,81.14,76,9,9.4
243,Atambua,ID,2022-05-25 20:50:28,-9.1061,124.8925,72.55,90,100,4.41
244,Ornskoldsvik,SE,2022-05-25 20:50:29,63.2909,18.7153,45.55,100,100,4.61
245,Hasaki,JP,2022-05-25 20:50:29,35.7333,140.8333,61.2,77,3,7.29
246,Komsomolskiy,UZ,2022-05-25 20:50:30,40.4272,71.7189,68.72,60,0,4.61
247,Zhangye,CN,2022-05-25 20:50:30,38.9342,100.4517,63.21,39,100,3.47
248,Saint-Augustin,CA,2022-05-25 20:50:30,51.226,-58.6502,56.8,50,100,25.64
249,Amahai,ID,2022-05-25 20:50:31,-3.3333,128.9167,77.11,82,93,1.52
250,Upernavik,GL,2022-05-25 20:50:31,72.7868,-56.1549,25.32,63,85,9.64
251,Boksitogorsk,RU,2022-05-25 20:50:32,59.474,33.8485,40.6,87,100,3.62
252,Williston,US,2022-05-25 20:50:32,48.147,-103.618,73.04,34,87,7.0
253,Namibe,AO,2022-05-25 20:50:32,-15.1961,12.1522,67.28,74,0,6.93
254,Cervo,ES,2022-05-25 20:50:33,43.6702,-7.4101,57.96,88,14,2.35
255,Helong,CN,2022-05-25 20:50:33,42.5397,128.9972,49.28,97,100,3.85
256,Nikolayevka,RU,2022-05-25 20:50:34,53.1257,47.2041,37.74,82,6,5.55
257,Turayf,SA,2022-05-25 20:50:34,31.6725,38.6637,73.65,31,0,11.5
258,Vanimo,PG,2022-05-25 20:50:34,-2.6741,141.3028,78.33,83,100,0.54
259,Vostok,RU,2022-05-25 20:50:35,46.4856,135.8833,54.03,93,95,3.38
260,Zhengjiatun,CN,2022-05-25 20:50:35,43.5064,123.5064,51.73,83,100,10.6
261,Dalkola,IN,2022-05-25 20:50:36,25.85,87.85,80.73,72,47,5.19
262,Saint-Philippe,RE,2022-05-25 20:50:36,-21.3585,55.7679,69.39,77,10,3.4
263,Tahe,CN,2022-05-25 20:50:37,52.3333,124.7333,52.81,57,11,2.51
264,Zaltan,LY,2022-05-25 20:50:37,32.947,11.8665,80.71,34,40,17.4
265,Sakakah,SA,2022-05-25 20:50:38,29.9697,40.2064,87.37,14,0,12.17
266,Zehdenick,DE,2022-05-25 20:50:38,52.9785,13.3317,58.17,82,40,5.06
267,Qasigiannguit,GL,2022-05-25 20:45:43,68.8193,-51.1922,39.45,71,96,4.85
268,Batagay,RU,2022-05-25 20:50:39,67.6333,134.6333,34.61,79,100,10.42
269,Verkhoturye,RU,2022-05-25 20:50:39,58.8627,60.8054,51.28,97,99,6.38
270,Khandyga,RU,2022-05-25 20:50:40,62.6667,135.6,37.27,76,92,2.33
271,Ayagoz,KZ,2022-05-25 20:50:40,47.9714,80.4392,62.04,76,100,1.86
272,Catuday,PH,2022-05-25 20:50:40,16.2923,119.8062,79.74,81,92,7.45
273,Antofagasta,CL,2022-05-25 20:48:01,-23.65,-70.4,60.08,74,27,7.2
274,Broken Hill,AU,2022-05-25 20:51:41,-31.95,141.4333,56.89,77,90,4.97
275,Champerico,GT,2022-05-25 20:51:42,14.3,-91.9167,84.74,72,88,17.0
276,Omboue,GA,2022-05-25 20:51:42,-1.5746,9.2618,75.16,86,56,8.05
277,Sur,OM,2022-05-25 20:51:43,22.5667,59.5289,90.64,41,0,13.44
278,Tasiilaq,GL,2022-05-25 20:51:43,65.6145,-37.6368,36.46,86,100,1.52
279,Vardo,NO,2022-05-25 20:48:52,70.3705,31.1107,39.18,87,20,12.66
280,Ponta Delgada,PT,2022-05-25 20:51:44,37.7333,-25.6667,63.32,63,75,8.05
281,Koslan,RU,2022-05-25 20:51:44,63.4564,48.8989,45.91,97,100,4.14
282,Xinzhou,CN,2022-05-25 20:51:45,38.4092,112.7333,60.08,37,44,1.99
283,Provideniya,RU,2022-05-25 20:51:45,64.3833,-173.3,32.11,93,100,2.24
284,Pacific Grove,US,2022-05-25 20:51:45,36.6177,-121.9166,78.42,66,0,15.99
285,Emmett,US,2022-05-25 20:51:46,43.8735,-116.4993,83.37,26,19,1.99
286,Vao,NC,2022-05-25 20:51:46,-22.6667,167.4833,74.46,75,3,5.28
287,Mukhen,RU,2022-05-25 20:51:47,48.1,136.1,54.86,88,100,1.23
288,Cabo San Lucas,MX,2022-05-25 20:51:47,22.8909,-109.9124,84.61,66,8,11.56
289,Matagami,CA,2022-05-25 20:51:48,49.7502,-77.6328,66.31,42,0,2.3
290,Gusau,NG,2022-05-25 20:51:48,12.1628,6.6614,89.31,28,14,5.44
291,Ko Samui,TH,2022-05-25 20:51:48,9.5357,99.9357,82.78,78,100,16.71
292,Trincomalee,LK,2022-05-25 20:51:49,8.5711,81.2335,81.27,76,87,19.17
293,Cayenne,GF,2022-05-25 20:51:49,4.9333,-52.3333,84.24,23,0,12.66
294,Barra Do Garcas,BR,2022-05-25 20:51:50,-15.89,-52.2567,90.18,35,20,4.61
295,Rocha,UY,2022-05-25 20:51:50,-34.4833,-54.3333,52.29,93,100,16.75
296,Miyako,JP,2022-05-25 20:51:50,39.6367,141.9525,62.31,75,3,6.76
